metin,kategori
alarko holding vpn uygulaması kurulum kılavuzu https://vpn.alarko.com.tr adresine giriş yapılır.bu adres girilirken https girilmesine dikkat edilmelidir kullanıcı hesap bilgileri housername parola bilgileri giriş yaptığınızda aşağıdaki ekran karşımıza gelecektir . bağlanacak client işletim sistemine uygun globalprotecht agent idirilip makinede yükleme yapmaya yetkli bir hesap local admin power user ... kurulum yapılır . önemli not local admin yada yetkili hesapla oturum açılıp yükleme yapılmadığı takdirde uygulama kurulur fakat sertifika yüklenemediğinden dolayı uygulama vpn bağlantısı sağlayamaz aşağıdaki hata globalprotect uygulmasında görülür . kurulum tamamlandıktan sonra programlardan global protect uygulaması başlatılır karşımıza gelen ekranında portal linki olan vpn.alarko.com.tr adresi girilir connect butonuna basılır . bir sonraki ekranda karşımıza kullanıcı bilgilerini girmemizi isteyen ekran gelecektir buraya kurumsal bilgisayarlarınızda kullandığınız kullanıcı adı parola bilgileri girilir . bilgiler girildikten sonra bağlantı durumu . görseldeki connected duruma gelecektir . adımdan sonra şirket networküne bağlantı kurabilirsiniz .,VPN yapılandırılması
alarko şirketler topluluğu dosya paylaşım platformu kullanım kılavuzu dosya paylaşım platformu alarko şirketler topluluğu bünyesindeki dosya paylaşımlarında kolaylık sağlamak mail üzerinde dosya paylaşılmasını azaltmak mail gönderilmemesi gereken büyük dosyaların paylaşımını sağlayabilmek oluşturulmuştur . dosya paylaşım platformundan dosya paylaşımı yapmak web tarayıcısının adres bölümüne httpatransfer.alarko.com.tr yazılarak platforma giriş sağlanmalı . dosya bölümüne dosyalar sürüklebırak yöntemiyle butonuna basılarak eklenmeli . aynı yöntemle birden fazla dosya eklenebilmektedir . eklenen dosya açıklama girişi alanı bulunmaktadır . alana girilen açıklamalar dosya paylaşımında bulunduğunuz kişinin ekranında görüntülenecektir . eklenen dosyalar sağ üst köşedeki işareti platformdan silinebilmektedir . ekranın ayarlar settings bölümünde eklenen dosyanın platformda kalma süresi belirlenmeli . alanda belirlenen süre sonunda dosya otomatik olarak silinecek olup süre sonunda dosya paylaşımında bulunduğunuz kişiler tarafından görüntülenemeyecektir . alana varsayılan süre saat olarak gelmektedir . uzun kısa süre sistemde kalması istendiği durumlar alana dikkat edilmelidir . eklenen dosyanın alıcıalıcılar tarafından bir parola yardımıyla açılması istendiğinde password alanına belirlenen parola girilmeli . gerekli ayarlamalar tamamlandıktan sonra butonuna basılarak dosyanın platforma yükleme işlemi tamamlanmalı . dosya platforma yüklendikten sonra ekranda eklenen dosyaların bulunduğu link ikonları oluşacaktır . dosya yolu sonra kullanılmak üzere butonuna basılarak kopyalanarak saklanabilir butonuna basılarak dosya yolunun içinde barındıran mail gönderme ekranı açtırılabilir . mailin içinde süre yazılabilir mi parola oluşturulan dosya paylaşımları parolalar mail içeriğinde gönderilmemelidir . upload işlemi yapıldıktan sonra aynı linkin içine tekrar dosya ilavesi yapılamaz . yeniden yükleme işlemi yapılması butonuna basılması gerekmektedir . butonuna basıldığında aşağıdaki mesajda ok butonuna basılarak yeniden yükleme işlemi yapılabilir . dosya paylaşım platformundan dosya indirmekgörüntülemek mail yolu gelen linke tıklanmalı . dosya paylaşımında parola kullanılmış edinilen parola girilerek butonuna basılarak dosyaların bulunduğu ekran açılmalı . dosya paylaşımında parola kullanılmamış direk paylaşılan dosyalar ekranda görüntülenecektir . paylaşılan dosya ekranında dosyanın yanındaki butonu sadece ilgili dosyanın platformdaki linkini kopyalamaktadır . dosyaların hepsinin paylaşılmaması durumunda ilgili link kopyalanıp mailin içine yapıştırılarak tekrar paylaşım zinciri seçilen dosyalar üzerinden devam ettirilebilir . ilgili dosyalar indirilmeden görüntülenmek istendiği takdirde butonuna basılmalı . görüntüleme işlemi yalnızca resim text basit içerikli dosyalar yapılabilmektedir . açılan platformdaki dosyaların üzerinde basılarak indirme download işlemi yapılır . açılan platformdaki dosyaları zip olarak indirebilmek butonuna basılmalıdır .,Transfer Kılavuzu
hesap parolası değiştirme koşul alarko şirketler topluluğu olarak kullanıcı hesaplarında kullanılan parolalar aşağıdaki koşulları sağlamalıdır . belirlenen parola max gün boyunca kullanılabilir . gün sonunda sistem otomatik olarak zorunlu parola değişikliğine yönlendirecektir . oluşturulacak parola min karakterden olmalı içerisinde büyükküçük harf bir adet rakam bulundurmalıdır . parola içerisinde türkçe karakter ğ ğ ç ç ş ş ü ü ö ö ı i bulunmamalıdır . yeni girilecek parola son paroladan farklı olmalıdır . yeni belirlenen parolanın tekrar değiştirilmesi üzerinden saat geçmesi gereklidir . hatalı parola girişi yapılır hesap dk boyunca kilitlenir . hesap ilk açılıyor parola değiştirilmesi gerekiyorsa . httpswebmail.alarko.com.tr adresine girilir bilgi işlem tarafından size verilen hesap bilgileri girilir . username housername parola karışınıza yukarıdaki ekran gelecektir burada yeni parola belirlenerek gönder butonu kayıt edilir girdiğiniz parola koşulda belirtilen şartları sağladığı takdirde kabul edilecektir karşınıza aşağıdaki bir hata sayfası gelecektir . sayfanın gelme sebebi hesabınıza ait bir mailbox posta kutusu bulunmamasıdır uyarıyı aldıysanız parolanız başarılı bir şekilde değiştirilmiş demektir . artık global protect yada terminal server üzerinden güncel parolanız bağlantı kurabilirsiniz .,Ad Parola Değişikliği
alarko holding ishak alaton üzeyir garih tarafından yılında kurulan altyapı inşaatı enerji finans gayrimenkul hafif sanayi turizm sektörlerinde faaliyet yürüten istanbul merkezli holdingdir . alarko ismi al alım satım ar araştırma geliştirme ko komple tesisler kurma anlamına gelmektedir . yılında ishak alaton üzeyir garih tarafından istanbulda bulunan bankalar caddesi vefai hanında kolektif bir şirket olarak kurulmuştur . ilk yıllarda ana iş kolunu ısıtma klima soğutma işleri oluşturmuştur . yılında holding haline gelmiş yılında halka açılmıştır . yılında holding bünyesinde kurulan alarko gayrimenkul yatırım ortaklığı imkbde işlem görmeye başlayan ilk gyo şirketidir . yılında holdingin sanayi grubu dünyanın büyük iklimlendirme firmalarından carrier eşit oranda ortak olmuştur . yılı itibarıyla taahhüt enerji sanayi turizm su ürünleri gayrimenkul alanlarında faaliyet göstermektedir . ayrıca yılında holding bünyesinde sosyal sorumluluk projelerinde yer almak amacıyla alarko eğitimkültür vakfı alev kurulmuştur . alarko holding bünyesindeki hillside turizm leisure sektöründe otel spor tesisi sinema spa merkezleri işletmeciliği alanlarında faaliyet gösteren bir şirkettir . kuruluş yılı dır . markalar hillside beach club hillside city club cinecity sanda spa hillsider magazine hillsidenow,Alarko tarihçe
alarko holding vpn uygulaması kurulum kılavuzu httpsvpn.alarko.com.tr adresine giriş yapılır.bu adres girilirken https girilmesine dikkat edilmelidir kullanıcı hesap bilgileri housername parola bilgileri giriş yaptığınızda aşağıdaki ekran karşımıza gelecektir . bağlanacak client işletim sistemine uygun globalprotecht agent idirilip makinede yükleme yapmaya yetkli bir hesap local admin power user ... kurulum yapılır . önemli not local admin yada yetkili hesapla oturum açılıp yükleme yapılmadığı takdirde uygulama kurulur fakat sertifika yüklenemediğinden dolayı uygulama vpn bağlantısı sağlayamaz aşağıdaki hata globalprotect uygulmasında görülür . kurulum tamamlandıktan sonra programlardan global protect uygulaması başlatılır karşımıza gelen ekranında portal linki olan vpn.alarko.com.tr adresi girilir connect butonuna basılır . bir sonraki ekranda karşımıza kullanıcı bilgilerini girmemizi isteyen ekran gelecektir buraya kurumsal bilgisayarlarınızda kullandığınız kullanıcı adı parola bilgileri girilir . bilgiler girildikten sonra bağlantı durumu . görseldeki connected duruma gelecektir . adımdan sonra şirket networküne bağlantı kurabilirsiniz .,VPN Yapılandırması
alarko holding ishak alaton üzeyir garih tarafından yılında kurulan altyapı inşaatı enerji finans gayrimenkul hafif sanayi turizm sektörlerinde faaliyet yürüten istanbul merkezli holdingdir . alarko ismi al alım satım ar araştırma geliştirme ko komple tesisler kurma anlamına gelmektedir . yılında ishak alaton üzeyir garih tarafından istanbulda bulunan bankalar caddesi vefai hanında kolektif bir şirket olarak kurulmuştur . ilk yıllarda ana iş kolunu ısıtma klima soğutma işleri oluşturmuştur . yılında holding haline gelmiş yılında halka açılmıştır . yılında holding bünyesinde kurulan alarko gayrimenkul yatırım ortaklığı imkbde işlem görmeye başlayan ilk gyo şirketidir . yılında holdingin sanayi grubu dünyanın büyük iklimlendirme firmalarından carrier eşit oranda ortak olmuştur . yılı itibarıyla taahhüt enerji sanayi turizm su ürünleri gayrimenkul alanlarında faaliyet göstermektedir . ayrıca yılında holding bünyesinde sosyal sorumluluk projelerinde yer almak amacıyla alarko eğitimkültür vakfı alev kurulmuştur . alarko holding bünyesindeki hillside turizm leisure sektöründe otel spor tesisi sinema spa merkez,Alarko Tarihçe
alarko şirketler topluluğu dosya paylaşım platformu kullanım kılavuzu dosya paylaşım platformu alarko şirketler topluluğu bünyesindeki dosya paylaşımlarında kolaylık sağlamak mail üzerinde dosya paylaşılmasını azaltmak mail gönderilmemesi gereken büyük dosyaların paylaşımını sağlayabilmek oluşturulmuştur . dosya paylaşım platformundan dosya paylaşımı yapmak web tarayıcısının adres bölümüne httpatransfer.alarko.com.tr yazılarak platforma giriş sağlanmalı . dosya bölümüne dosyalar sürüklebırak yöntemiyle butonuna basılarak eklenmeli . aynı yöntemle birden fazla dosya eklenebilmektedir . eklenen dosya açıklama girişi alanı bulunmaktadır . alana girilen açıklamalar dosya paylaşımında bulunduğunuz kişinin ekranında görüntülenecektir . eklenen dosyalar sağ üst köşedeki işareti platformdan silinebilmektedir . ekranın ayarlar settings bölümünde eklenen dosyanın platformda kalma süresi belirlenmeli . alanda belirlenen süre sonunda dosya otomatik olarak silinecek olup süre sonunda dosya paylaşımında bulunduğunuz kişiler tarafından görüntülenemeyecektir . alana varsayılan süre saat olarak gelmektedir . uzun kısa süre sistemde kalması istendiği durumlar alana dikkat edilmelidir . eklenen dosyanın alıcıalıcılar tarafından bir parola yardımıyla açılması istendiğinde password alanına belirlenen parola girilmeli . gerekli ayarlamalar tamamlandıktan sonra butonuna basılarak dosyanın platforma yükleme işlemi tamamlanmalı . dosya platforma yüklendikten sonra ekranda eklenen dosyaların bulunduğu link ikonları oluşacaktır . dosya yolu sonra kullanılmak üzere butonuna basılarak kopyalanarak saklanabilir butonuna basılarak dosya yolunun içinde barındıran mail gönderme ekranı açtırılabilir . mailin içinde süre yazılabilir mi parola oluşturulan dosya paylaşımları parolalar mail içeriğinde gönderilmemelidir . upload işlemi yapıldıktan sonra aynı linkin içine tekrar dosya ilavesi yapılamaz . yeniden yükleme işlemi yapılması butonuna basılması gerekmektedir . butonuna basıldığında aşağıdaki mesajda ok butonuna basılarak yeniden yükleme işlemi yapılabilir . dosya paylaşım platformundan dosya indirmekgörüntülemek mail yolu gelen linke tıklanmalı . dosya paylaşımında parola kullanılmış edinilen parola girilerek butonuna basılarak dosyaların bulunduğu ekran açılmalı . dosya paylaşımında parola kullanılmamış direk paylaşılan dosyalar ekranda görüntülenecektir . paylaşılan dosya ekranında dosyanın yanındaki butonu sadece ilgili dosyanın platformdaki linkini kopyalamaktadır . dosyaların hepsinin paylaşılmaması durumunda ilgili link kopyalanıp mailin içine yapıştırılarak tekrar paylaşım zinciri seçilen dosyalar üzerinden devam ettirilebilir . ilgili dosyalar indirilmeden görüntülenmek istendiği takdirde butonuna basılmalı . görüntüleme işlemi yalnızca resim text basit içerikli dosyalar yapılabilmektedir . açılan platformdaki dosyaların üzerinde basılarak indirme download işlemi yapılır . açılan platformdaki dosyaları zip olarak indirebilmek butonuna basılmalıdır .,Transfer Kılavuzu
alarko holding vpn uygulaması kurulum kılavuzu 1- https : //vpn.alarko.com.tr adresine giriş yapılır.bu adres girilirken https girilmesine dikkat edilmelidir kullanıcı hesap bilgileri housername parola bilgileri giriş yaptığınızda aşağıdaki ekran karşımıza gelecektir . 2- bağlanacak client işletim sistemine uygun globalprotecht agent idirilip makinede yükleme yapmaya yetkli bir hesap local admin power user ... kurulum yapılır . önemli not : local admin yada yetkili hesapla oturum açılıp yükleme yapılmadığı takdirde uygulama kurulur fakat sertifika yüklenemediğinden dolayı uygulama vpn bağlantısı sağlayamaz aşağıdaki hata globalprotect uygulmasında görülür . 3- kurulum tamamlandıktan sonra programlardan global protect uygulaması başlatılır karşımıza gelen ekranında portal linki olan vpn.alarko.com.tr adresi girilir connect butonuna basılır . bir sonraki ekranda karşımıza kullanıcı bilgilerini girmemizi isteyen ekran gelecektir buraya kurumsal bilgisayarlarınızda kullandığınız kullanıcı adı parola bilgileri girilir . 4- bilgiler girildikten sonra bağlantı durumu 2. görseldeki connected duruma gelecektir . adımdan sonra şirket networküne bağlantı kurabilirsiniz .,VPN Yapılandırması
alarko holding ishak alaton üzeyir garih tarafından 1972 yılında kurulan altyapı inşaatı enerji finans gayrimenkul hafif sanayi turizm sektörlerinde faaliyet yürüten istanbul merkezli holdingdir . alarko ismi al alım satım ar araştırma geliştirme ko komple tesisler kurma anlamına gelmektedir.3 1954 yılında ishak alaton üzeyir garih tarafından istanbulda bulunan bankalar caddesi vefai hanında kolektif bir şirket olarak kurulmuştur . ilk yıllarda ana iş kolunu ısıtma klima soğutma işleri oluşturmuştur . 1973 yılında holding haline gelmiş 1974 yılında halka açılmıştır . 1997 yılında holding bünyesinde kurulan alarko gayrimenkul yatırım ortaklığı imkbde işlem görmeye başlayan ilk gyo şirketidir . 1998 yılında holdingin sanayi grubu dünyanın büyük iklimlendirme firmalarından carrier eşit oranda ortak olmuştur . 2014 yılı itibarıyla taahhüt enerji sanayi turizm su ürünleri gayrimenkul alanlarında faaliyet göstermektedir . ayrıca 1986 yılında holding bünyesinde sosyal sorumluluk projelerinde yer almak amacıyla alarko eğitim-kültür vakfı alev kurulmuştur . alarko holding bünyesindeki hillside turizm leisure sektöründe otel spor tesisi sinema spa merkez,Alarko Tarihçe
alarko şirketler topluluğu dosya paylaşım platformu kullanım kılavuzu dosya paylaşım platformu alarko şirketler topluluğu bünyesindeki dosya paylaşımlarında kolaylık sağlamak mail üzerinde dosya paylaşılmasını azaltmak mail gönderilmemesi gereken büyük dosyaların paylaşımını sağlayabilmek oluşturulmuştur . dosya paylaşım platformundan dosya paylaşımı yapmak 1- web tarayıcısının adres bölümüne http : //atransfer.alarko.com.tr/ yazılarak platforma giriş sağlanmalı . 2- dosya bölümüne dosyalar sürükle-bırak yöntemiyle butonuna basılarak eklenmeli . aynı yöntemle birden fazla dosya eklenebilmektedir . 3- eklenen dosya açıklama girişi alanı bulunmaktadır . alana girilen açıklamalar dosya paylaşımında bulunduğunuz kişinin ekranında görüntülenecektir . 4- eklenen dosyalar sağ üst köşedeki işareti platformdan silinebilmektedir . 5- ekranın ayarlar settings bölümünde eklenen dosyanın platformda kalma süresi belirlenmeli . alanda belirlenen süre sonunda dosya otomatik olarak silinecek olup süre sonunda dosya paylaşımında bulunduğunuz kişiler tarafından görüntülenemeyecektir . alana varsayılan süre 6 saat olarak gelmektedir . uzun / kısa süre sistemde kalması istendiği durumlar alana dikkat edilmelidir . 6- eklenen dosyanın alıcı/alıcılar tarafından bir parola yardımıyla açılması istendiğinde password alanına belirlenen parola girilmeli . 7- gerekli ayarlamalar tamamlandıktan sonra butonuna basılarak dosyanın platforma yükleme işlemi tamamlanmalı . 8- dosya platforma yüklendikten sonra ekranda eklenen dosyaların bulunduğu link ikonları oluşacaktır . 9- dosya yolu sonra kullanılmak üzere butonuna basılarak kopyalanarak saklanabilir butonuna basılarak dosya yolunun içinde barındıran mail gönderme ekranı açtırılabilir . mailin içinde süre yazılabilir mi 10- parola oluşturulan dosya paylaşımları parolalar mail içeriğinde gönderilmemelidir . 11- upload işlemi yapıldıktan sonra aynı linkin içine tekrar dosya ilavesi yapılamaz . yeniden yükleme işlemi yapılması butonuna basılması gerekmektedir . butonuna basıldığında aşağıdaki mesajda ok butonuna basılarak yeniden yükleme işlemi yapılabilir . dosya paylaşım platformundan dosya indirmek/görüntülemek 12- mail yolu gelen linke tıklanmalı . dosya paylaşımında parola kullanılmış edinilen parola girilerek butonuna basılarak dosyaların bulunduğu ekran açılmalı . 13- dosya paylaşımında parola kullanılmamış direk paylaşılan dosyalar ekranda görüntülenecektir . 14- paylaşılan dosya ekranında dosyanın yanındaki butonu sadece ilgili dosyanın platformdaki linkini kopyalamaktadır . dosyaların hepsinin paylaşılmaması durumunda ilgili link kopyalanıp mailin içine yapıştırılarak tekrar paylaşım zinciri seçilen dosyalar üzerinden devam ettirilebilir . ilgili dosyalar indirilmeden görüntülenmek istendiği takdirde butonuna basılmalı . görüntüleme işlemi yalnızca resim text basit içerikli dosyalar yapılabilmektedir . 15- açılan platformdaki dosyaların üzerinde basılarak indirme download işlemi yapılır . 16- açılan platformdaki dosyaları zip olarak indirebilmek butonuna basılmalıdır .,Transfer Kılavuzu
